,id,object_name,chain,object_type,address,number,street,district
6073,143509,кафе «tacador»,нет,кафе,"город Москва, Профсоюзная улица, дом 126, корпус 3",20, Профсоюзная улица,район Тёплый Стан
6074,143510,кафе «cezve coffee»,нет,кафе,"город Москва, Профсоюзная улица, дом 126, корпус 3",20, Профсоюзная улица,район Тёплый Стан
6075,143013,ресторан «китайские новости»,нет,ресторан,"город Москва, Профсоюзная улица, дом 126, корпус 3",190, Профсоюзная улица,район Тёплый Стан
6082,29817,комбинат питания ран,нет,ресторан,"город Москва, Ленинский проспект, дом 32А",89, Ленинский проспект,Гагаринский район
6085,23901,черемушки кафе при фок,нет,кафе,"город Москва, Профсоюзная улица, дом 62, корпус 5",10, Профсоюзная улица,Обручевский район
6097,26309,макдоналдс,да,предприятие быстрого обслуживания,"город Москва, Профсоюзная улица, дом 56",40, Профсоюзная улица,Обручевский район
6098,26985,пивной двор,нет,ресторан,"город Москва, Профсоюзная улица, дом 56",80, Профсоюзная улица,Обручевский район
6099,25401,пиццерия,нет,кафе,"город Москва, Профсоюзная улица, дом 56",20, Профсоюзная улица,Обручевский район
6100,25403,латте,нет,кафе,"город Москва, Профсоюзная улица, дом 56",86, Профсоюзная улица,Обручевский район
6101,25404,домино'с пицца,да,кафе,"город Москва, Профсоюзная улица, дом 56",50, Профсоюзная улица,Обручевский район
6102,112178,кафе теремок,да,предприятие быстрого обслуживания,"город Москва, Профсоюзная улица, дом 56",15, Профсоюзная улица,Обручевский район
6103,112181,крошка картошка,да,предприятие быстрого обслуживания,"город Москва, Профсоюзная улица, дом 56",40, Профсоюзная улица,Обручевский район
6104,111341,food trip cafe,нет,предприятие быстрого обслуживания,"город Москва, Профсоюзная улица, дом 56",12, Профсоюзная улица,Обручевский район
6105,111529,тирольские пироги,да,предприятие быстрого обслуживания,"город Москва, Профсоюзная улица, дом 56",4, Профсоюзная улица,Обручевский район
6106,111541,glowsubs sandwiches,да,кафе,"город Москва, Профсоюзная улица, дом 56",12, Профсоюзная улица,Обручевский район
6107,114523,кулинарное бюро kitchen,да,кафе,"город Москва, Профсоюзная улица, дом 56",70, Профсоюзная улица,Обручевский район
6108,115197,ресторантс-сервис,нет,ресторан,"город Москва, Профсоюзная улица, дом 56",24, Профсоюзная улица,Обручевский район
6109,115556,черемуха,нет,кафе,"город Москва, Профсоюзная улица, дом 56",56, Профсоюзная улица,Обручевский район
6110,23956,русагрохолдинг,нет,кафе,"город Москва, Профсоюзная улица, дом 61А",0, Профсоюзная улица,район Черёмушки
6111,23949,система бит 2000,нет,кафе,"город Москва, Профсоюзная улица, дом 61А",75, Профсоюзная улица,район Черёмушки
6112,27140,технологии ресторанного бизнеса,нет,ресторан,"город Москва, Профсоюзная улица, дом 61А",70, Профсоюзная улица,район Черёмушки
6113,27193,максимальный ресторан,нет,ресторан,"город Москва, Профсоюзная улица, дом 61А",0, Профсоюзная улица,район Черёмушки
