,id,object_name,chain,object_type,address,number,street,district
8316,143431,ribambelle,нет,ресторан,"город Москва, Ботанический переулок, дом 5",80, Ботанический переулок,Мещанский район
8342,152201,столовая при гбоу школа 1231,нет,столовая,"город Москва, 7-й Ростовский переулок, дом 16",40, 7-й Ростовский переулок,район Хамовники
8343,153387,столовая при гбоу школа 1253,нет,столовая,"город Москва, Пуговишников переулок, дом 7",70, Пуговишников переулок,район Хамовники
8360,29149,школа №83,нет,столовая,"город Москва, Стрельбищенский переулок, дом 14",100, Стрельбищенский переулок,Пресненский район
8376,27788,лса,нет,столовая,"город Москва, Большой Знаменский переулок, дом 2, строение 26",24, Большой Знаменский переулок,район Хамовники
8402,29158,столовая шк 1468,нет,столовая,"город Москва, Брошевский переулок, дом 21",75, Брошевский переулок,Таганский район
8445,25017,венская кофейня-кофе шоп,нет,кафе,"город Москва, Известковый переулок, дом 1",65, Известковый переулок,Таганский район
8449,21410,буфет школы 1305,нет,буфет,"город Москва, 2-й Красносельский переулок, дом 18",130, 2-й Красносельский переулок,Красносельский район
8777,150900,школа,нет,столовая,"город Москва, Новопресненский переулок, дом 6",30, Новопресненский переулок,Пресненский район
8789,158540,кафетерий на заправке,нет,кафетерий,"город Москва, улица Сайкина, дом 2",6, улица Сайкина,Даниловский район
8800,158330,crystal,нет,ресторан,"город Москва, Шубинский переулок, дом 2/3",49, Шубинский переулок,район Арбат
8893,148031,бургер кинг,да,предприятие быстрого обслуживания,"город Московский, улица Хабарова, дом 2",0, улица Хабарова,Не определен
8942,159001,чуковский,нет,кафе,"город Москва, 6-я улица Новые Сады, дом 2",32, 6-я улица Новые Сады,район Ново-Переделкино
8957,150886,школа,нет,столовая,"город Москва, Причальный проезд, дом 7, строение 1",60, Причальный проезд,Пресненский район
9010,161067,перелетный кабак,нет,кафе,"город Москва, Мансуровский переулок, дом 10, строение 2",40, Мансуровский переулок,район Хамовники
9014,161609,кафе «волконский»,нет,кафе,"город Москва, переулок Маяковского, дом 3",2, переулок Маяковского,Таганский район
9053,160305,арт кафе «new place moscow»,нет,кафе,"город Москва, площадь Журавлёва, дом 2, строение 2",120, площадь Журавлёва,район Соколиная Гора
