,id,object_name,chain,object_type,address,number,street,district
779,124526,кафе дада,нет,кафе,"город Москва, 1-й Новокузнецкий переулок, дом 5-7",30, 1-й Новокузнецкий переулок,район Замоскворечье
783,27483,гбоу школа № 1352,нет,столовая,"город Москва, Новосибирская улица, дом 8",110, Новосибирская улица,район Гольяново
895,20048,пицца-фабрика,нет,кафе,"город Москва, улица Пивченкова, дом 7",12, улица Пивченкова,район Фили-Давыдково
899,23980,сказочный двор,нет,кафе,"город Москва, Платовская улица, дом 4",45, Платовская улица,район Дорогомилово
908,25694,кафе,нет,кафетерий,"город Москва, 3-й проезд Подбельского, дом 22, корпус 3",16, 3-й проезд Подбельского,район Богородское
910,156679,cezve coffee,нет,кафе,"город Москва, Подсосенский переулок, дом 8, строение 2",20, Подсосенский переулок,Басманный район
990,20381,трапезная,нет,столовая,"город Москва, улица Рогожский Посёлок, дом 3",10, улица Рогожский Посёлок,Нижегородский район
1062,141385,гранатовый сад,нет,ресторан,"город Москва, 1-й Сетуньский проезд, дом 10",80, 1-й Сетуньский проезд,район Раменки
1113,22203,вуден бор,нет,кафе,"город Москва, 2-й Стрелецкий проезд, дом 7",40, 2-й Стрелецкий проезд,район Марьина Роща
1147,29423,школа апогей,нет,буфет,"город Москва, Таганрогская улица, дом 7",150, Таганрогская улица,район Люблино
1163,21439,буфет при гуп «объединенный комбинат школьного питания»,нет,столовая,"город Москва, Тенистый проезд, дом 8",98, Тенистый проезд,район Свиблово
1219,146370,амбарчик,нет,кафе,"город Москва, Малый Николопесковский переулок, дом 9/1, строение 2",20, Малый Николопесковский переулок,район Арбат
1273,21569,буфет школы 694,нет,буфет,"город Москва, 2-й Хуторской переулок, дом 4/13",75, 2-й Хуторской переулок,Савёловский район
1404,87543,кафе «one teaspoon»,нет,кафе,"город Москва, Яузский бульвар, дом 14/8",16, Яузский бульвар,Не определен
1426,82532,будайский дворик,нет,ресторан,"город Москва, Будайский проезд, дом 8",98, Будайский проезд,район Ростокино
1432,20865,буфет при общежитии,нет,буфет,"город Москва, Международная улица, дом 15",8, Международная улица,Таганский район
1456,134075,матрешка,нет,кафе,"город Москва, Новолучанская улица, дом 22, строение 1",17, Новолучанская улица,Не определен
1466,25989,алиби,нет,ресторан,"город Москва, Ащеулов переулок, дом 9",85, Ащеулов переулок,Красносельский район
1537,20415,чашка,нет,бар,"город Москва, улица Академика Семёнова, дом 3",40, улица Академика Семёнова,район Южное Бутово
1574,157025,улисс паб,нет,бар,"город Москва, Кривоарбатский переулок, дом 16/22",100, Кривоарбатский переулок,район Арбат
1633,25165,кафе-пиццерия,нет,кафе,"город Москва, 1-й Зачатьевский переулок, дом 4",50, 1-й Зачатьевский переулок,район Хамовники
1646,68324,tokyo bay,да,кафе,"город Москва, Старомонетный переулок, дом 18",50, Старомонетный переулок,район Якиманка
1654,22043,супкультура,нет,кафе,"город Москва, 2-й Щемиловский переулок, дом 4",30, 2-й Щемиловский переулок,Тверской район
1667,75223,борго,нет,кафе,"город Москва, 2-й Полевой переулок, дом 2",45, 2-й Полевой переулок,район Сокольники
1687,111078,кафе торшер,нет,кафе,"город Москва, улица Васильцовский Стан, дом 5, корпус 1",48, улица Васильцовский Стан,Рязанский район
1756,22808,else kafe,нет,кафе,"город Москва, Иваньковское шоссе, дом 5",30, Иваньковское шоссе,район Покровское-Стрешнево
1781,24748,густаторе,нет,кафе,"город Москва, Петровско-Разумовская аллея, дом 10, корпус 3",24, Петровско-Разумовская аллея,район Аэропорт
1847,24743,кафе angelov,нет,кафе,"город Москва, 2-й Неопалимовский переулок, дом 3",35, 2-й Неопалимовский переулок,район Хамовники
1909,27568,столовая,нет,столовая,"город Москва, Конаковский проезд, дом 5",240, Конаковский проезд,Головинский район
1915,27436,школа 1381,нет,столовая,"город Москва, Янтарный проезд, дом 2",300, Янтарный проезд,Лосиноостровский район
1918,27896,столовая,нет,столовая,"город Москва, Авиационный переулок, дом 5",62, Авиационный переулок,район Аэропорт
1934,21437,столовая колорит кадетского корпуса № 1783,нет,столовая,"город Москва, 3-я Новоостанкинская улица, дом 6",80, 3-я Новоостанкинская улица,Останкинский район
1955,25970,бюргер,нет,бар,"город Москва, Докучаев переулок, дом 6, строение 2",60, Докучаев переулок,Красносельский район
1964,28254,столовая,нет,столовая,"город Москва, Фармацевтический проезд, дом 1",55, Фармацевтический проезд,район Коптево
1969,153599,столовая «гкб им. с.п. боткина»,нет,столовая,"город Москва, Большой Предтеченский переулок, дом 15/8, строение 1",70, Большой Предтеченский переулок,Пресненский район
1976,29144,школа №110,нет,столовая,"город Москва, Столовый переулок, дом 10/2, строение 1",40, Столовый переулок,Пресненский район
2022,27183,yoko,нет,ресторан,"город Москва, Соймоновский проезд, дом 5",50, Соймоновский проезд,район Хамовники
2029,22627,ривер,нет,кафе,"город Москва, Малый Власьевский переулок, дом 12, строение 2",24, Малый Власьевский переулок,район Хамовники
2041,22670,хинкальная,да,кафе,"город Москва, Богоявленский переулок, дом 6, строение 2",20, Богоявленский переулок,Тверской район
2069,137801,казан чай бар,нет,ресторан,"город Москва, Малый Татарский переулок, дом 8, строение 1",46, Малый Татарский переулок,район Замоскворечье
2070,28552,столовая,нет,столовая,"город Москва, 2-й Новокузнецкий переулок, дом 13/15, строение 1",80, 2-й Новокузнецкий переулок,район Замоскворечье
2073,140795,ресторан золберг,нет,ресторан,"город Москва, 1-й Люсиновский переулок, дом 3Б",60, 1-й Люсиновский переулок,район Замоскворечье
2103,22220,ухтомская усадьба,нет,ресторан,"город Москва, Лениногорская улица, дом 32, строение 1",42, Лениногорская улица,район Косино-Ухтомский
2104,147961,премьер пицца,нет,предприятие быстрого обслуживания,"город Москва, Прокатная улица, дом 7",0, Прокатная улица,район Ивановское
2186,21525,гбоу школа № 1236,нет,столовая,"город Москва, улица Гончарова, дом 15Б",60, улица Гончарова,Бутырский район
2197,28801,столовая при колледже № 21,нет,столовая,"город Москва, Вербная улица, дом 4, строение 1",252, Вербная улица,район Метрогородок
2202,29239,столовая 1404,нет,столовая,"город Москва, Большая Ширяевская улица, дом 11",80, Большая Ширяевская улица,район Сокольники
2208,21399,школьная столовая № 1210,нет,столовая,"город Москва, улица Гамалеи, дом 17, корпус 1",95, улица Гамалеи,район Щукино
2260,152523,антикинотеатр «newtone»,нет,кафе,"город Москва, Хлебный переулок, дом 2/3, строение 3",25, Хлебный переулок,Пресненский район
2365,27860,мнити,нет,столовая,"город Москва, Гольяновская улица, дом 7А, строение 1",70, Гольяновская улица,Басманный район
2369,27343,школа 354,нет,столовая,"город Москва, Лефортовский переулок, дом 8, строение 1",40, Лефортовский переулок,Басманный район
2407,150892,школа,нет,столовая,"город Москва, Средний Кондратьевский переулок, дом 8А",60, Средний Кондратьевский переулок,Пресненский район
2409,150890,школа,нет,столовая,"город Москва, улица Подвойского, дом 2",200, улица Подвойского,Пресненский район
2430,20119,кафе,нет,кафе,"город Москва, Изваринская улица, дом 4, корпус 1",45, Изваринская улица,район Внуково
2431,19822,столовая,нет,столовая,"город Москва, Дивизионная улица, дом 4",80, Дивизионная улица,Не определен
2451,29188,столовая,нет,столовая,"город Москва, Пулковская улица, дом 6",50, Пулковская улица,Головинский район
2504,29350,столовая школы 900,нет,столовая,"город Москва, 3-й Дорожный проезд, дом 6А",240, 3-й Дорожный проезд,район Чертаново Южное
2518,26715,ресторан «тэсти»,нет,предприятие быстрого обслуживания,"город Москва, Кожевнический проезд, дом 4/5, строение 5",200, Кожевнический проезд,район Замоскворечье
2528,24635,оазис,нет,кафе,"город Москва, улица Рокотова, дом 2А",80, улица Рокотова,район Ясенево
2568,26686,территория ясенево,да,ресторан,"город Москва, Ясногорская улица, дом 2",200, Ясногорская улица,район Ясенево
2609,21495,гбоу школа № 626 структурное подразделение «ремизово»,нет,столовая,"город Москва, улица Ремизова, дом 12",80, улица Ремизова,район Котловка
2615,29377,гбоудо «севастополец»,нет,столовая,"город Москва, Большая Юшуньская улица, дом 14",55, Большая Юшуньская улица,Не определен
2638,27566,столовая,нет,столовая,"город Москва, Солнечногорский проезд, дом 7А",184, Солнечногорский проезд,Головинский район
2667,21273,буфет в техникуме,нет,буфет,"город Москва, Стандартная улица, дом 4А",60, Стандартная улица,Алтуфьевский район
2679,21390,столовая цо 1402,нет,столовая,"город Москва, 2-я Сокольническая улица, дом 3",60, 2-я Сокольническая улица,район Сокольники
2683,29541,при вечерней школе 148,нет,столовая,"город Москва, 2-я Гражданская улица, дом 8",50, 2-я Гражданская улица,район Богородское
2685,29543,при школе 382,нет,столовая,"город Москва, Андреево-Забелинская улица, дом 28",120, Андреево-Забелинская улица,район Богородское
2690,73010,при школе 374,нет,буфет,"город Москва, Миллионная улица, дом 5",125, Миллионная улица,район Богородское
2699,21577,при школе 363,нет,буфет,"город Москва, Алымов переулок, дом 15",120, Алымов переулок,район Богородское
2700,21575,при школе 365,нет,буфет,"город Москва, 5-й проезд Подбельского, дом 2",90, 5-й проезд Подбельского,район Богородское
2712,28576,стол. шк. 163,нет,столовая,"город Москва, Линейный проезд, дом 11",200, Линейный проезд,Тимирязевский район
2713,29201,гбоу школа №771,нет,столовая,"город Москва, Икшинская улица, дом 12",247, Икшинская улица,Дмитровский район
2714,28681,стол. шк. 929,нет,столовая,"город Москва, улица Немчинова, дом 8",140, улица Немчинова,Тимирязевский район
2726,29196,гбоу школа дмитровский,нет,столовая,"город Москва, Вагоноремонтная улица, дом 15А",247, Вагоноремонтная улица,Дмитровский район
2727,29490,стол.школы 1592 кшп «логарифм»,нет,столовая,"город Москва, Бескудниковский проезд, дом 4А",240, Бескудниковский проезд,Бескудниковский район
2728,29493,стол.шк.n208 гуп«школьное питание»,нет,столовая,"город Москва, Бескудниковский переулок, дом 4А",240, Бескудниковский переулок,Бескудниковский район
2736,21387,стол. шк.207,нет,столовая,"город Москва, Астрадамский проезд, дом 5",60, Астрадамский проезд,Тимирязевский район
2737,29198,гбоу школа дмитровский,нет,столовая,"город Москва, Карельский бульвар, дом 20",67, Карельский бульвар,Дмитровский район
2741,22454,апрель,нет,ресторан,"город Москва, Живарев переулок, дом 8, строение 3",80, Живарев переулок,Красносельский район
2751,27405,гбоу пушкинская школа № 1500,нет,столовая,"город Москва, Скорняжный переулок, дом 3, строение 1",150, Скорняжный переулок,Красносельский район
2754,83649,graff lounge,нет,ресторан,"город Москва, 1-й Коптельский переулок, дом 2/7, строение 1",45, 1-й Коптельский переулок,Красносельский район
2782,20967,буфет № 6 ргау-мсха им. к.а. тимирязева,нет,буфет,"город Москва, Тимирязевский проезд, дом 2",16, Тимирязевский проезд,Тимирязевский район
2842,76888,лоза,нет,кафе,"город Москва, Институтский переулок, дом 2",50, Институтский переулок,район Марьина Роща
2852,152179,гбоу многопрофильный лицей № 1501,нет,буфет,"город Москва, улица Достоевского, дом 25, строение 1",60, улица Достоевского,Тверской район
2894,140177,спорт-бар гладиатор,нет,бар,"город Москва, улица Фонвизина, дом 17",15, улица Фонвизина,Бутырский район
2926,76244,да пино,да,ресторан,"город Москва, Делегатская улица, дом 7, строение 1",145, Делегатская улица,Не определен
2937,23288,столовая школы 12,нет,столовая,"город Москва, 2-й Сетуньский проезд, дом 9",250, 2-й Сетуньский проезд,район Раменки
2956,28669,школа № 706 (доготовочная столовая),нет,столовая,"город Москва, Песчаный переулок, дом 6",140, Песчаный переулок,район Сокол
2965,21426,буфет школы 153,нет,буфет,"город Москва, Прибрежный проезд, дом 12",90, Прибрежный проезд,район Левобережный
2997,83284,кафе «восточная сказка»,нет,кафе,"город Москва, 3-я Подрезковская улица, дом 14, строение 2",60, 3-я Подрезковская улица,Молжаниновский район
3011,21421,столовая гимназии 1570,нет,буфет,"город Москва, переулок Расковой, дом 14А",70, переулок Расковой,район Беговой
3025,23669,школа 1012,нет,столовая,"город Москва, Родниковая улица, дом 20, корпус 1",320, Родниковая улица,район Солнцево
3037,29074,школьно-базовая столовая,нет,столовая,"город Москва, Большая Бутовская улица, дом 9",120, Большая Бутовская улица,район Южное Бутово
3042,29008,цо №1450 «комбинат дошкольного питания»,нет,столовая,"город Москва, Фруктовая улица, дом 9",300, Фруктовая улица,Не определен
3045,140413,офицерское собрание ресторан,нет,ресторан,"город Москва, Черниговский переулок, дом 9/13, строение 2",30, Черниговский переулок,район Замоскворечье
3053,20966,буфет полиграфического колледжа 56,нет,буфет,"город Москва, Полтавская улица, дом 3",120, Полтавская улица,Савёловский район
3066,28222,бар (закрытое),нет,буфет,"город Москва, Пыжёвский переулок, дом 5, строение 1",30, Пыжёвский переулок,район Якиманка
3071,28108,столовая «анокпумгкэит»,нет,столовая,"город Москва, улица Академика Петровского, дом 10",150, улица Академика Петровского,Донской район
3123,20879,nook cofee,нет,кафе,"город Москва, Нелидовская улица, дом 10, строение 1",14, Нелидовская улица,район Южное Тушино
3124,73079,школа № 1431,нет,столовая,"город Москва, 1-й Тушинский проезд, дом 12",240, 1-й Тушинский проезд,район Покровское-Стрешнево
3127,90766,кафе,нет,кафе,"город Москва, проезд Досфлота, дом 2, строение 1",24, проезд Досфлота,район Южное Тушино
3143,23366,школа № 830 корпус № 4,нет,столовая,"город Москва, Врачебный проезд, дом 12",210, Врачебный проезд,район Покровское-Стрешнево
3162,20938,ярославский посад,нет,буфет,"город Москва, 3-й Стрелецкий проезд, дом 3",36, 3-й Стрелецкий проезд,район Марьина Роща
3199,27284,принцесса,нет,ресторан,"город Москва, Попов проезд, дом 2",200, Попов проезд,район Сокольники
3201,75004,кафе,нет,кафе,"город Москва, 1-я Боевская улица, дом 6",44, 1-я Боевская улица,район Сокольники
3220,27588,столовая школы 380,нет,столовая,"город Москва, 2-я улица Бухвостова, дом 6",100, 2-я улица Бухвостова,район Преображенское
3254,27389,школьная столовая № 1874,нет,столовая,"город Москва, улица Маршала Новикова, дом 13",170, улица Маршала Новикова,район Щукино
3256,27349,столовая гбоу школа № 1560 «лидер»,нет,столовая,"город Москва, Новохорошёвский проезд, дом 12",250, Новохорошёвский проезд,район Хорошёво-Мнёвники
3276,152133,столовая института мировых цивилизаций,нет,столовая,"город Москва, 1-й Басманный переулок, дом 3, строение 1",50, 1-й Басманный переулок,Красносельский район
3289,126032,9bar,нет,кафетерий,"город Москва, Стромынский переулок, дом 4",0, Стромынский переулок,район Сокольники
3296,25298,кафе «хомяк»,нет,кафе,"город Москва, Заводской проезд, дом 25",35, Заводской проезд,район Измайлово
3301,28548,столовая при школе 1362,нет,столовая,"город Москва, Лечебная улица, дом 20",80, Лечебная улица,район Соколиная Гора
3320,28546,столовая при школе интернат № 53,нет,столовая,"город Москва, Кирпичная улица, дом 18",150, Кирпичная улица,район Соколиная Гора
3332,21274,сэлтинс,нет,буфет,"город Москва, Стрелецкая улица, дом 2, строение 1",28, Стрелецкая улица,район Марьина Роща
3336,28839,гбоу школа №2200,нет,столовая,"город Москва, 11-я Парковая улица, дом 50",112, 11-я Парковая улица,район Северное Измайлово
3338,29234,столовая при колледже,нет,столовая,"город Москва, 14-я Парковая улица, дом 4Б",100, 14-я Парковая улица,район Восточное Измайлово
3345,21453,столовая школы 434,нет,столовая,"город Москва, улица Благуша, дом 6",80, улица Благуша,район Соколиная Гора
3349,27399,столовая при школе 1056,нет,столовая,"город Москва, Штурвальная улица, дом 7, корпус 2",240, Штурвальная улица,район Южное Тушино
3350,20931,алеся,нет,столовая,"город Москва, Минаевский переулок, дом 2",60, Минаевский переулок,район Марьина Роща
3359,146703,бабу,нет,кафе,"город Москва, Щёлковский проезд, дом 13",44, Щёлковский проезд,район Северное Измайлово
3360,22224,кафе «сочи»,нет,кафе,"город Москва, Мажоров переулок, дом 5",15, Мажоров переулок,район Соколиная Гора
3367,73308,кофе-хаус,да,кафе,"город Москва, Измайловская площадь, дом 1А",98, Измайловская площадь,район Измайлово
3371,27633,цо 345,нет,столовая,"город Москва, Елоховский проезд, дом 1, строение 5",100, Елоховский проезд,Басманный район
3375,21367,школа 1204,нет,буфет,"город Москва, Рубцов переулок, дом 10/14",77, Рубцов переулок,Басманный район
3381,27855,мосводоканал,нет,столовая,"город Москва, Плетешковский переулок, дом 2",90, Плетешковский переулок,Басманный район
3388,29148,школа №87,нет,столовая,"город Москва, улица Николаева, дом 5",40, улица Николаева,Пресненский район
3391,21035,малыш и карлсон,нет,буфет,"город Москва, Триумфальная площадь, дом 2, строение 1",15, Триумфальная площадь,Тверской район
3465,21280,буфет медицинского училища при гкб им. боткина,нет,буфет,"город Москва, 2-й Боткинский проезд, дом 5, корпус 28",40, 2-й Боткинский проезд,район Беговой
3527,21030,буфет,нет,буфет,"город Москва, Мамоновский переулок, дом 10, строение 1",4, Мамоновский переулок,Тверской район
3529,22576,золотой дракон,нет,кафе,"город Москва, Дегтярный переулок, дом 6, строение 1",86, Дегтярный переулок,Тверской район
3530,25096,ливанец,нет,кафе,"город Москва, Глинищевский переулок, дом 3",98, Глинищевский переулок,Тверской район
3597,26857,гарден,нет,ресторан,"город Москва, 3-я Песчаная улица, дом 2",80, 3-я Песчаная улица,Хорошёвский район
3619,154224,обломов,нет,ресторан,"город Москва, 1-й Монетчиковский переулок, дом 5, строение 1",75, 1-й Монетчиковский переулок,район Замоскворечье
3621,142570,квартира 44,да,кафе,"город Москва, улица Малая Ордынка, дом 24",38, улица Малая Ордынка,район Замоскворечье
3624,29577,школа 540 «кдп»,нет,столовая,"город Москва, Хавская улица, дом 15",200, Хавская улица,Даниловский район
3630,129451,кафе «ванадис»,нет,кафе,"город Москва, Жуков проезд, дом 8, строение 3",30, Жуков проезд,Даниловский район
3633,141361,ирландский паб белфаст,нет,кафе,"город Москва, Средний Овчинниковский переулок, дом 1, строение 13",40, Средний Овчинниковский переулок,район Замоскворечье
3639,21582,школа 573 «кдп»,нет,столовая,"город Москва, 5-й Рощинский проезд, дом 4",120, 5-й Рощинский проезд,Даниловский район
3642,19883,солнечный очаг,нет,ресторан,"город Москва, улица Богданова, дом 56Б",60, улица Богданова,район Солнцево
3652,23673,школа 1000,нет,столовая,"город Москва, Наро-Фоминская улица, дом 1",130, Наро-Фоминская улица,район Солнцево
3653,23662,школа 1009,нет,столовая,"город Москва, улица Щорса, дом 5",200, улица Щорса,район Солнцево
3670,69444,mojo,нет,кафе,"город Москва, Сверчков переулок, дом 8, строение 1",63, Сверчков переулок,Басманный район
3701,156723,eleven-hall,нет,ресторан,"город Москва, Малый Каретный переулок, дом 11, строение 2",100, Малый Каретный переулок,Тверской район
3713,23514,осипов а.с. (прод.база «очаково»),нет,столовая,"город Москва, проектируемый проезд № 1980, дом 4",60, проектируемый проезд № 1980,район Очаково-Матвеевское
3754,29173,моск. гор. колледж инф-х технологий,нет,столовая,"город Москва, Костомаровская набережная, дом 29, строение 1",84, Костомаровская набережная,Таганский район
3755,27019,гостиница лефортово,нет,ресторан,"город Москва, 1-й Краснокурсантский проезд, дом 1/4",200, 1-й Краснокурсантский проезд,район Лефортово
3756,27859,столовая при ммгп «мосгаз» буфет,нет,столовая,"город Москва, Мрузовский переулок, дом 11, строение 1",30, Мрузовский переулок,Басманный район
3760,152836,полковнику никто не пишет,нет,кафе,"город Москва, Петроверигский переулок, дом 4, строение 1",44, Петроверигский переулок,Не определен
3763,21365,школа 1227,нет,буфет,"город Москва, Большой Трёхсвятительский переулок, дом 4",55, Большой Трёхсвятительский переулок,Не определен
3765,21373,школа 330,нет,буфет,"город Москва, Большой Казённый переулок, дом 9",55, Большой Казённый переулок,Басманный район
3766,28859,лицей 1303,нет,столовая,"город Москва, Таможенный проезд, дом 4",170, Таможенный проезд,район Лефортово
3768,28861,школа 1229,нет,столовая,"город Москва, Верхний Золоторожский переулок, дом 2",170, Верхний Золоторожский переулок,район Лефортово
3775,28863,школа 416,нет,столовая,"город Москва, Шепелюгинская улица, дом 21/13, строение 1",150, Шепелюгинская улица,район Лефортово
3776,28860,школа 733,нет,столовая,"город Москва, Лонгиновская улица, дом 6",120, Лонгиновская улица,район Лефортово
3784,153726,столовая при фгбоу во мпгу,нет,столовая,"город Москва, Несвижский переулок, дом 3",26, Несвижский переулок,район Хамовники
3841,153404,столовая при гбоу лицей 1555,нет,столовая,"город Москва, Хилков переулок, дом 3А",45, Хилков переулок,район Хамовники
3844,152202,столовая при гбоу лицей 1535,нет,столовая,"город Москва, Малый Саввинский переулок, дом 8",105, Малый Саввинский переулок,район Хамовники
3852,153436,столовая при образовательном комплексе дизайна и технологии,нет,столовая,"город Москва, улица Савельева, дом 5",100, улица Савельева,район Хамовники
3853,153380,столовая при гбоу школа 57,нет,столовая,"город Москва, переулок Хользунова, дом 8",48, переулок Хользунова,район Хамовники
3872,153406,столовая при гимназии 1529 им. а.с. грибоедова,нет,столовая,"город Москва, 2-й Обыденский переулок, дом 9",30, 2-й Обыденский переулок,район Хамовники
3875,150573,буфет на хитровке,нет,кафе,"город Москва, Хитровский переулок, дом 3/1, строение 4",12, Хитровский переулок,Не определен
3891,28416,столовая при управлении судебного департамента,нет,столовая,"город Москва, Андроньевская площадь, дом 5/9",45, Андроньевская площадь,Таганский район
3910,151761,ред брик,нет,бар,"город Москва, Хохловский переулок, дом 10, строение 6",50, Хохловский переулок,Не определен
3954,28810,столовая при шк. 2093 (783),нет,столовая,"город Москва, Союзный проспект, дом 2",240, Союзный проспект,район Новогиреево
3975,28809,столовая при шк. 2072,нет,столовая,"город Москва, Утренняя улица, дом 12",200, Утренняя улица,район Новогиреево
3994,28806,столовая при шк. 2093 (787),нет,столовая,"город Москва, улица Алексея Дикого, дом 18А",150, улица Алексея Дикого,район Новогиреево
4134,29155,школа 2104,нет,столовая,"город Москва, 1-й Котельнический переулок, дом 5, строение 2",35, 1-й Котельнический переулок,Таганский район
4156,21583,школа №1272,нет,столовая,"город Москва, 1-й Кожуховский проезд, дом 17",120, 1-й Кожуховский проезд,Даниловский район
4157,28996,школа 574 кдп,нет,столовая,"город Москва, Высокая улица, дом 6",210, Высокая улица,район Нагатино-Садовники
4171,147916,донер бистро,нет,предприятие быстрого обслуживания,"город Москва, Гончарная набережная, дом 9/16, строение 3",0, Гончарная набережная,Таганский район
4176,150827,гбоу школа №498,нет,столовая,"город Москва, улица Малые Каменщики, дом 18",0, улица Малые Каменщики,Таганский район
4177,21181,школа 2104,нет,буфет,"город Москва, 5-й Котельнический переулок, дом 8",60, 5-й Котельнический переулок,Таганский район
4185,29309,школа 485,нет,столовая,"город Москва, 3-й Кожуховский проезд, дом 3А",120, 3-й Кожуховский проезд,Южнопортовый район
4197,82524,столовая мгпу,нет,столовая,"город Москва, 2-й Сельскохозяйственный проезд, дом 4, строение 1",150, 2-й Сельскохозяйственный проезд,район Ростокино
4199,28270,цсо,нет,столовая,"город Москва, Магаданская улица, дом 9",40, Магаданская улица,Лосиноостровский район
4208,28706,столовая (гбоу «школа №1558имени росалии де кастро»),нет,столовая,"город Москва, Печорская улица, дом 18",300, Печорская улица,Бабушкинский район
4209,27468,столовая-доготовочная при школе 1099,нет,столовая,"город Москва, улица Ротерта, дом 5",300, улица Ротерта,Ярославский район
4214,27438,школа 529,нет,столовая,"город Москва, 2-я Напрудная улица, дом 17",240, 2-я Напрудная улица,Лосиноостровский район
4217,28705,столовая (гбоу «школа № 281»),нет,столовая,"город Москва, Радужная улица, дом 7",240, Радужная улица,Бабушкинский район
4219,28701,столовая (гбоу «школа №1095»),нет,столовая,"город Москва, Олонецкий проезд, дом 6",240, Олонецкий проезд,Бабушкинский район
4220,28697,столовая (гбоу «школа №281»),нет,буфет,"город Москва, улица Рудневой, дом 10",60, улица Рудневой,Бабушкинский район
4222,27461,столовая-доготовочная при школе 1374,нет,столовая,"город Москва, Федоскинская улица, дом 4",240, Федоскинская улица,Ярославский район
4226,27437,школа 762,нет,столовая,"город Москва, Норильская улица, дом 4",300, Норильская улица,Лосиноостровский район
4239,23022,светлана,нет,кафе,"город Москва, Таёжная улица, дом 1",45, Таёжная улица,Лосиноостровский район
4246,27441,школа 1188,нет,столовая,"город Москва, 1-я Напрудная улица, дом 13",300, 1-я Напрудная улица,Лосиноостровский район
4278,28691,столовая при московском коледже железнодорожного транспорта,нет,столовая,"город Москва, Кучин переулок, дом 14, строение 1",134, Кучин переулок,Алексеевский район
4320,29521,столовая «потенциал»,нет,столовая,"город Москва, Кулаков переулок, дом 7",150, Кулаков переулок,Алексеевский район
4324,138024,столовая при школе № 2107,нет,буфет,"город Москва, Напрудный переулок, дом 13",30, Напрудный переулок,Мещанский район
4326,21069,буфет при ржевской бане,нет,буфет,"город Москва, Банный проезд, дом 3, строение 1",4, Банный проезд,Мещанский район
4338,138027,столовая при школе № 2107,нет,буфет,"город Москва, переулок Васнецова, дом 2",43, переулок Васнецова,Мещанский район
4346,21388,буфет-раздаточный при школе № 242,нет,буфет,"город Москва, 1-й проезд Марьиной Рощи, дом 3А",50, 1-й проезд Марьиной Рощи,район Марьина Роща
4347,28629,столовая при школе № 1297,нет,буфет,"город Москва, Малая Переяславская улица, дом 6/8",83, Малая Переяславская улица,Мещанский район
4354,27416,столовая при гбоу школа № 1539,нет,столовая,"город Москва, Староалексеевская улица, дом 1",200, Староалексеевская улица,Алексеевский район
4356,138014,столовая при школе № 2107,нет,буфет,"город Москва, Больничный переулок, дом 4",34, Больничный переулок,Мещанский район
4357,28628,столовая при школе №1297,нет,столовая,"город Москва, Глинистый переулок, дом 7, строение 1",140, Глинистый переулок,Мещанский район
4367,19744,столовая,нет,столовая,"город Москва, 3-я Черепковская улица, дом 15А, строение 5",244, 3-я Черепковская улица,район Кунцево
4406,23760,столовая гбоу города москвы № 587,нет,столовая,"город Москва, улица Красных Зорь, дом 61",110, улица Красных Зорь,Можайский район
4408,23738,столовая гбпоу зкно,нет,столовая,"город Москва, улица Ращупкина, дом 3",180, улица Ращупкина,Можайский район
4409,23750,столовая гбоу города москвы № 1400,нет,столовая,"город Москва, улица Кубинка, дом 20, корпус 1",200, улица Кубинка,Можайский район
4410,23728,столовая гбоу города москвы № 1400,нет,столовая,"город Москва, улица Кутузова, дом 20",120, улица Кутузова,Можайский район
4411,23638,столовая гбпоу зкно,нет,буфет,"город Москва, Гродненская улица, дом 5",150, Гродненская улица,Можайский район
4426,23749,столовая гбоу города москвы № 391,нет,буфет,"город Москва, Гжатская улица, дом 6",90, Гжатская улица,Можайский район
4429,23740,столовая гбоу города москвы № 1195,нет,буфет,"город Москва, Вяземская улица, дом 7",100, Вяземская улица,Можайский район
4435,23611,буфет - гбоу сош №6,нет,буфет,"город Москва, улица Екатерины Будановой, дом 18",60, улица Екатерины Будановой,район Кунцево
4459,20755,останкино,нет,закусочная,"город Москва, Троилинский переулок, дом 3",25, Троилинский переулок,район Арбат
4474,128035,бабель,нет,ресторан,"город Москва, 1-й Николощеповский переулок, дом 6, строение 2",140, 1-й Николощеповский переулок,район Арбат
4475,78275,ля марэ,нет,ресторан,"город Москва, Проточный переулок, дом 7",150, Проточный переулок,район Арбат
4541,23625,буфет-раздаточная № 731,нет,буфет,"город Москва, Новорублёвская улица, дом 1",80, Новорублёвская улица,Не определен
4574,29285,школа 913,нет,буфет,"город Москва, улица Степана Шутова, дом 8, корпус 3",120, улица Степана Шутова,район Люблино
4576,28931,школа № 439 ителлект,нет,столовая,"город Москва, Орехово-Зуевский проезд, дом 4",40, Орехово-Зуевский проезд,Нижегородский район
4579,28085,столовая гну виэсх,нет,столовая,"город Москва, 1-й Вешняковский проезд, дом 2, строение 1",20, 1-й Вешняковский проезд,Рязанский район
4584,27020,palacio,нет,ресторан,"город Москва, улица Паперника, дом 9",30, улица Паперника,Рязанский район
4588,28075,столовая спец.база атп-3 мосводоканал,нет,столовая,"город Москва, шоссе Фрезер, дом 32, строение 1",10, шоссе Фрезер,Нижегородский район
4596,28888,столовая уоо цсбофнпр,нет,буфет,"город Москва, Тихая улица, дом 30",120, Тихая улица,район Люблино
